0,41,16,46,9,23,44,19,12,41,8,35,32,12,22,48,32,27,21,38,40,4,39,5,43,44,40,39,43,34,4,6,25,5,47,7,32,20,32,3,17,47,13,5,27,16,40,47,9,46,16,42,46,9,18,23,10,42,47,27,20,33,44,33,27,9,13,11,41,35,10,38,7,23,7,20,19,2,5,41,18,7,38,34,19,21,27,24,23,44,38,11,9,27,36,28,33,17,22,44,30,17,41,7
41,0,11,38,18,16,31,14,27,40,44,48,21,23,37,28,1,41,29,37,12,47,10,8,19,2,16,28,47,33,40,41,45,47,10,44,15,31,47,32,33,17,22,44,35,22,43,20,29,34,9,44,23,25,48,12,2,44,6,8,17,42,29,16,18,38,32,35,17,43,49,37,23,20,32,18,46,9,38,10,22,37,40,41,40,20,27,37,41,39,20,9,15,28,4,16,3,23,6,6,19,38,30,13
16,11,0,29,7,45,6,17,6,27,20,40,38,26,37,16,22,19,23,30,15,1,6,24,34,39,8,33,19,30,16,46,29,21,27,17,7,39,25,7,44,22,22,42,37,42,41,20,5,35,13,16,48,40,22,2,46,29,24,37,18,19,29,28,43,39,11,27,46,34,3,39,33,22,13,20,19,9,12,42,24,28,17,5,48,13,35,24,42,20,34,32,18,26,10,1,9,49,11,9,38,36,41,47
46,38,29,0,36,15,16,45,7,34,35,32,30,35,34,36,14,13,48,20,46,45,3,32,36,27,11,28,43,44,36,43,4,30,1,45,6,11,12,31,43,18,19,2,23,35,15,47,45,36,47,48,23,30,20,42,1,31,37,35,12,22,22,28,20,10,18,41,16,48,11,5,39,14,31,19,7,24,22,27,17,18,38,7,30,48,35,23,44,1,23,27,1,5,24,48,29,17,48,10,47,43,17,49
9,18,7,36,0,8,41,1,25,12,48,17,39,47,24,25,26,3,8,38,10,11,20,13,32,5,1,32,39,27,11,15,41,15,6,17,28,6,33,10,9,15,13,28,42,30,48,10,41,13,34,18,3,47,35,23,31,42,12,25,16,20,28,26,37,46,9,37,33,33,28,5,13,24,6,26,31,27,42,23,33,28,39,25,27,29,32,33,40,44,46,6,8,32,7,10,20,17,21,10,49,28,17,44
23,16,45,15,8,0,11,32,13,47,10,21,40,23,6,10,22,29,42,48,47,43,19,33,10,41,3,2,39,18,26,36,26,35,3,43,9,3,19,23,39,6,33,22,16,11,4,11,42,49,24,23,45,32,43,38,8,33,16,18,42,12,34,28,7,49,18,32,7,6,13,6,31,25,10,43,46,34,34,38,46,26,42,6,44,13,30,1,4,6,8,39,34,3,1,30,14,15,13,34,49,9,31,2
44,31,6,16,41,11,0,42,41,23,7,37,14,46,3,3,4,31,11,24,20,17,15,35,29,18,6,19,3,33,12,6,34,9,9,17,30,29,37,23,22,36,7,15,42,12,17,45,13,25,37,49,29,27,13,41,32,25,25,7,22,41,16,21,34,34,13,19,8,42,23,41,27,10,39,48,40,40,4,12,30,44,30,28,47,11,25,43,44,37,49,26,27,44,21,33,5,19,27,43,34,45,1,48
19,14,17,45,1,32,42,0,17,41,34,13,43,4,17,3,9,26,33,19,42,40,41,3,29,35,25,48,36,1,48,27,2,47,8,25,47,17,40,27,28,12,35,36,14,29,19,20,20,11,22,8,13,27,47,13,24,26,7,36,5,28,9,4,7,48,22,48,2,14,41,35,30,11,29,7,12,23,29,11,31,13,35,17,26,38,17,22,44,45,44,16,36,3,22,23,16,19,44,33,11,27,23,27
12,27,6,7,25,13,41,17,0,23,24,36,9,19,43,9,45,49,29,29,28,15,44,20,9,47,25,3,32,30,46,47,29,27,13,9,11,10,48,30,6,22,13,43,45,49,46,14,20,11,38,11,42,20,40,14,8,1,45,33,43,14,25,17,24,33,46,2,7,6,40,6,3,10,36,18,29,20,31,34,15,4,20,45,12,14,6,21,12,3,49,11,35,13,47,6,31,11,6,25,35,12,1,49
41,40,27,34,12,47,23,41,23,0,12,28,48,18,11,37,28,7,9,7,20,40,20,26,17,35,32,1,18,2,42,23,34,22,40,47,34,34,26,39,28,43,3,14,10,3,8,2,48,42,41,35,28,31,19,29,19,26,15,23,42,23,40,17,2,40,7,45,26,36,47,39,38,15,35,2,7,12,27,17,43,24,18,38,17,29,31,21,27,33,30,47,42,1,28,43,19,44,28,45,24,7,28,30
