26928,26928,20723,20723,23819,23819,24203,24203,39839,39839
28585,28585,22381,22381,25477,25477,25860,25860,41497,41497
44191,44191,37980,37980,36191,36191,31942,31942,32484,32484
23756,23756,17551,17551,20648,20648,21031,21031,29265,29265
23703,23703,17498,17498,20594,20594,20977,20977,29211,29211
20983,20983,14778,14778,17874,17874,18258,18258,20740,20740
19234,19234,13030,13030,16126,16126,16509,16509,32146,32146
17161,17161,10956,10956,14053,14053,14436,14436,22433,22433
21134,21134,14929,14929,18025,18025,18409,18409,21886,21886
28585,28585,22381,22381,25477,25477,25860,25860,41497,41497
29512,29512,23307,23307,26404,26404,26787,26787,42423,42423
24767,24767,18562,18562,21658,21658,22042,22042,37678,37678
49385,49385,43174,43174,41385,41385,37137,37137,28540,28540
26716,26716,20511,20511,23607,23607,23990,23990,25653,25653
21971,21971,15766,15766,18863,18863,19246,19246,34882,34882
30883,30883,24679,24679,27775,27775,28158,28158,43795,43795
26832,26832,20627,20627,23724,23724,24107,24107,32341,32341
29709,29709,23505,23505,26601,26601,26984,26984,42621,42621
19430,19430,13225,13225,16321,16321,16705,16705,24939,24939
23817,23817,17612,17612,20709,20709,21092,21092,23749,23749
31940,31940,25735,25735,28831,28831,29215,29215,44851,44851
21712,21712,15507,15507,18603,18603,18987,18987,22766,22766
21695,21695,15490,15490,18587,18587,18970,18970,22815,22815
21472,21472,15267,15267,18364,18364,18747,18747,26981,26981
18672,18672,12467,12467,15563,15563,15947,15947,23190,23190
19017,19017,12812,12812,15909,15909,16292,16292,22175,22175
20822,20822,14617,14617,17714,17714,18097,18097,33733,33733
30725,30725,24521,24521,27617,27617,28000,28000,43637,43637
21083,21083,14879,14879,17975,17975,18358,18358,26592,26592
19076,19076,12872,12872,15968,15968,16351,16351,22248,22248
23405,23405,17200,17200,20296,20296,20680,20680,28914,28914
23134,23134,16929,16929,20025,20025,20409,20409,28642,28642
30883,30883,24679,24679,27775,27775,28158,28158,43795,43795
27551,27551,21347,21347,24443,24443,24826,24826,28267,28267
22657,22657,16452,16452,19548,19548,19932,19932,28165,28165
29999,29999,23794,23794,26890,26890,27274,27274,42910,42910
27259,27259,21054,21054,24150,24150,24534,24534,40170,40170
29892,29892,23687,23687,26783,26783,27167,27167,42803,42803
28035,28035,21830,21830,24926,24926,25310,25310,31349,31349
27850,27850,19429,19429,19933,19933,26131,26131,42029,42029
16784,16784,10579,10579,13675,13675,14059,14059,29695,29695
34712,34712,26291,26291,26795,26795,32993,32993,48891,48891
28994,28994,22789,22789,25885,25885,26269,26269,41905,41905
28074,28074,21869,21869,24965,24965,25349,25349,40985,40985
18304,18304,12100,12100,15196,15196,15579,15579,22912,22912
30898,30898,24694,24694,27790,27790,28173,28173,43810,43810
28214,28214,22009,22009,25105,25105,25489,25489,41125,41125
31189,31189,24984,24984,28081,28081,28464,28464,44100,44100
26657,26657,20452,20452,23548,23548,23932,23932,39568,39568
29747,29747,23542,23542,26638,26638,27022,27022,42658,42658
29793,29793,23589,23589,26685,26685,27068,27068,42705,42705
30210,30210,24006,24006,27102,27102,27485,27485,43122,43122
27654,27654,21449,21449,24545,24545,24929,24929,40565,40565
