0,7957,5707,10898,3785,10241,11300,30161,8292,4186
7873,0,12190,15811,8584,17622,18118,15561,10058,5886
5707,12357,0,6533,3582,7393,6726,31375,9506,11376
9913,15153,8003,0,7325,860,1964,23694,5656,16528
3547,8776,3606,8481,0,7824,8882,27793,5924,7794
9972,15212,10990,2891,7384,0,2037,23753,5715,16587
10882,18710,7017,2414,8295,1627,0,24653,6615,17487
30764,15823,32055,25360,28449,24262,25320,0,25192,21330
8356,12340,9646,4743,6040,4535,5594,22256,0,11117
4155,6304,11315,14936,7709,16703,17199,32258,10389,0
