0,6839,29734,3844,3583,4381,6175,4694,2657,6130,4118,9280,7444,6999,2444,6204
7181,0,26670,6669,10080,3289,2471,11190,4271,10736,7886,7355,11212,1698,6470,9972
30781,30103,0,20191,18720,27644,27005,20407,30075,16745,18557,24181,17083,30262,31610,17193
3214,5860,28798,0,4307,3401,5195,5417,3667,4870,2021,6469,5346,6020,4584,4106
3216,9737,18482,4719,0,7278,9072,2813,5519,2777,4472,10346,5156,9897,5184,3916
4551,2851,27294,4040,7450,0,1804,8561,1615,8106,5257,6840,8583,3011,5380,7342
6050,2054,26281,5539,8949,1771,0,10060,3141,9605,6756,5545,10082,2063,6879,8841
3880,10402,19574,5384,2195,7943,9737,0,6184,3580,5684,11011,6368,10561,6261,5127
2915,3478,28477,5223,5938,3123,3570,7049,0,9289,6440,8023,9766,2850,2406,8525
5889,9841,15994,4587,2858,7383,9177,4545,8606,0,3547,10450,4231,10001,7858,2991
4252,6465,18280,1824,4407,4006,5800,6115,5229,3816,0,7074,3696,6625,6408,2455
8158,5708,24177,5707,11057,5021,4301,12168,7452,9773,6924,0,10250,5717,8987,9010
7547,10373,16880,5119,4978,7915,9709,6685,9138,4386,3176,10982,0,10533,9703,1413
6093,1834,28835,5581,8991,3482,2092,10102,3183,9647,6798,6975,10124,0,4969,8884
2121,4905,29739,6648,4389,4386,4997,5499,2746,6935,5356,9285,8543,4276,0,7303
6504,9331,16970,4077,3935,6872,8666,5643,8095,3344,2443,9940,1516,9490,8660,0
