0,10571,2748,33241,15942,8923,5274,7749,32258,6304
9776,0,11091,33194,11719,13500,6559,12326,32211,13193
2714,12273,0,35116,17817,7374,7191,6128,20581,5549
31869,31727,24746,0,23188,21288,28420,20672,6456,20028
17435,12201,19305,23669,0,18964,8461,17791,22941,18658
7609,13653,6820,21423,14767,0,9138,1142,16880,3697
5869,5988,7184,29460,7870,9766,0,8592,28477,9459
6214,12258,5425,21161,13372,2033,7743,0,16618,3162
21330,33382,20541,6272,23246,17083,30075,16467,0,15823
5886,13518,5098,20104,14632,3681,9003,3065,15561,0
