0,10542,3770,30515,10154,6722,10309,20564,6722,27798,7250,5092,19611,20350,27651,19453
12496,0,8488,31089,6788,6828,1191,8509,6828,28372,9263,5322,7556,8054,28226,7398
4255,7617,0,27600,7239,3798,7384,17853,3798,24883,4335,4867,16900,15042,24736,16742
29227,30421,26777,0,26696,26423,30964,27587,26423,8273,24915,29269,25558,23926,8787,25901
10421,5283,8622,28024,0,3765,5825,12168,3765,25307,4748,6997,11215,9773,25160,11057
8128,5616,3961,28819,4428,0,5383,12450,0,26102,2764,3998,11497,12237,25955,11339
11832,1181,7824,31640,7339,6164,0,9060,6164,28923,10740,5282,8108,8605,28777,7949
19383,8206,17584,27555,11011,12546,8748,0,12546,18611,15160,12879,2484,3580,24117,2195
8128,5616,3961,28819,4428,0,5383,12450,0,26102,2764,3998,11497,12237,25955,11339
27643,28838,25193,11049,25112,24839,29380,19277,24839,0,23331,27685,17247,15615,7203,17590
9017,6383,4799,26927,5245,2532,6925,13267,2532,24209,0,6376,12314,13054,24063,12156
5214,7184,3766,30446,7879,4789,6951,15064,4789,27729,6215,0,14111,14609,27583,13953
18877,7699,17077,26120,10504,12039,8241,2971,12039,17176,14653,12372,0,2389,22683,343
19024,7645,17224,23975,10450,10937,8187,4545,10937,15031,14800,12319,2516,0,20537,2858
24841,26251,25469,10023,22525,22253,26793,24612,22253,7586,20745,27932,22582,20950,0,22925
18718,7541,16919,26463,10346,11881,8083,2813,11881,17519,14495,12214,343,2777,23026,0
