0,8088,12667,6381,11318,26023,12191,7688,24574,7551
8355,0,20013,2989,18664,29497,19537,10485,28047,11024
10637,19143,0,14463,2078,24860,4386,9138,17330,8650
6541,3723,14525,0,13175,29991,14048,7584,28541,8123
8795,17301,2352,12621,0,25609,2308,7296,18079,6808
25916,31072,24264,31363,24331,0,23926,32590,8977,32453
10105,18611,4231,13931,2045,23975,0,8606,16445,8118
7242,12246,9766,7560,8416,32324,9289,0,30874,1170
25102,30258,17201,30550,17269,9168,16863,31776,0,31640
7898,13284,8154,8604,6805,32979,7678,2357,31529,0
